#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
That turned out to be false.	Das hat sich als falsch herausgestellt.	B1 B1-U06 B1-U06-L3
the claim / to claim	die Behauptung / behaupten	B1 B1-U06 B1-U06-L3
to prove / to forward	beweisen / weiterleiten	B1 B1-U06 B1-U06-L3
to spread / to tell apart	verbreiten / unterscheiden	B1 B1-U06 B1-U06-L3
the headline	die Schlagzeile	B1 B1-U06 B1-U06-L3
Nobody is forced to join in.	Niemand wird gezwungen, mitzumachen.	B1 B1-U06 B1-U06-L4
media literacy	die Medienkompetenz	B1 B1-U06 B1-U06-L4
to fall for a headline	auf eine Schlagzeile hereinfallen	B1 B1-U06 B1-U06-L4
Research is expensive.	Recherche ist teuer.	B1 B1-U06 B1-U06-L4
the responsibility for it lies with everyone	die Verantwortung dafür liegt bei allen	B1 B1-U06 B1-U06-L4
Two posts were cut.	Zwei Stellen wurden gestrichen.	B1 B1-U06 B1-U06-L4
That ought to be done everywhere.	Das müsste eigentlich überall gemacht werden.	B1 B1-U06 B1-U06-L4
the event / the basis	das Ereignis / die Grundlage	B1 B1-U06 B1-U06-L4
I cycle although it's raining.	Ich fahre mit dem Rad, obwohl es regnet.	B1 B1-U07
It's raining. I cycle anyway.	Es regnet. Trotzdem fahre ich mit dem Rad.	B1 B1-U07
Despite the rain	trotz des Regens	B1 B1-U07
It is unpleasant, but …	Zwar ist es unangenehm, aber …	B1 B1-U07
…, so the collection left it standing	…, sodass die Abfuhr sie stehen ließ	B1 B1-U07
so small that it's never enough	so klein, dass sie nie reicht	B1 B1-U07
too expensive to finance	zu teuer, um es zu finanzieren	B1 B1-U07
big enough to last a week	groß genug, um eine Woche zu reichen	B1 B1-U07
The flatter the boxes, the more fits in.	Je flacher die Kartons sind, desto mehr passt hinein.	B1 B1-U07
In my opinion …	Meiner Meinung nach …	B1 B1-U07
Of course …, but …	Natürlich …, aber …	B1 B1-U07
All in all …	Alles in allem …	B1 B1-U07
to separate waste / the packaging	den Müll trennen / die Verpackung	B1 B1-U07
to do without something	auf etwas verzichten	B1 B1-U07
It's unpleasant, but it only takes ten minutes.	Zwar ist es unangenehm, aber es dauert nur zehn Minuten.	B1 B1-U07 B1-U07-L1
Nevertheless it isn't enough.	Dennoch reicht es nicht.	B1 B1-U07 B1-U07-L1
to separate waste	den Müll trennen	B1 B1-U07 B1-U07-L1
the packaging	die Verpackung	B1 B1-U07 B1-U07-L1
the consumption	der Verbrauch	B1 B1-U07 B1-U07-L1
the purchase (of something lasting)	die Anschaffung	B1 B1-U07 B1-U07-L1
to avoid	vermeiden	B1 B1-U07 B1-U07-L1
economical, sparing	sparsam	B1 B1-U07 B1-U07-L1
unnecessary	unnötig	B1 B1-U07 B1-U07-L1
The bin was overfull, so the collection left it.	Die Tonne war überfüllt, sodass die Abfuhr sie stehen ließ.	B1 B1-U07 B1-U07-L2
The bin is so small that it's never enough.	Die Tonne ist so klein, dass sie nie reicht.	B1 B1-U07 B1-U07-L2
There was so much paper that the lid wouldn't close.	Es war so viel Papier da, dass der Deckel nicht zuging.	B1 B1-U07 B1-U07-L2
The older the device, the more it uses.	Je älter das Gerät ist, desto mehr verbraucht es.	B1 B1-U07 B1-U07-L2
It's too late to start now.	Es ist zu spät, um jetzt noch anzufangen.	B1 B1-U07 B1-U07-L2
the consequence	die Folge	B1 B1-U07 B1-U07-L2
overfull / to overflow	überfüllt / überlaufen	B1 B1-U07 B1-U07-L2
to be enough	reichen	B1 B1-U07 B1-U07-L2
the effort	der Aufwand	B1 B1-U07 B1-U07-L2
the measure (action taken)	die Maßnahme	B1 B1-U07 B1-U07-L2
The most important reason is …	Der wichtigste Grund ist …	B1 B1-U07 B1-U07-L3
For me it's like this: …	Bei mir ist es so, dass …	B1 B1-U07 B1-U07-L3
You could say that … However, …	Man könnte sagen, dass … Allerdings …	B1 B1-U07 B1-U07-L3
I agree with you.	Da stimme ich dir zu.	B1 B1-U07 B1-U07-L3
There's something in that, but …	Da ist etwas dran, aber …	B1 B1-U07 B1-U07-L3
I see that differently.	Das sehe ich anders.	B1 B1-U07 B1-U07-L3
to depend on (need) something	angewiesen sein auf (+ A)	B1 B1-U07 B1-U07-L3
the exception / the fee	die Ausnahme / die Gebühr	B1 B1-U07 B1-U07-L3
sustainable / sustainability	nachhaltig / die Nachhaltigkeit	B1 B1-U07 B1-U07-L3
…, so the collection left it	…, sodass die Abfuhr sie stehen ließ	B1 B1-U07 B1-U07-L4
I'm having the heating repaired.	Ich lasse die Heizung reparieren.	B1 B1-U08
Let me do that.	Lass mich das machen.	B1 B1-U08
I had the bike repaired.	Ich habe das Rad reparieren lassen.	B1 B1-U08
I left my phone on the bus.	Ich habe mein Handy im Bus gelassen.	B1 B1-U08
Let's talk about it tomorrow.	Lass uns morgen darüber reden.	B1 B1-U08
What are you doing here? (friendly)	Was machst du denn hier?	B1 B1-U08
Tell me, …	Sag mal, …	B1 B1-U08
We did talk about it, remember?	Wir haben doch darüber gesprochen.	B1 B1-U08
Then we'll just do it differently.	Dann machen wir es eben anders.	B1 B1-U08
It comes through quite loudly at my place.	Bei mir kommt das ziemlich laut an.	B1 B1-U08
We take turns.	Wir wechseln uns ab.	B1 B1-U08
to volunteer / to look after	sich engagieren / sich kümmern um	B1 B1-U08
to let someone know	Bescheid sagen	B1 B1-U08
I'll leave the key with the neighbour.	Ich lasse den Schlüssel bei der Nachbarin.	B1 B1-U08 B1-U08-L1
Who left the bottles in the hallway?	Wer hat die Flaschen im Flur stehen lassen?	B1 B1-U08 B1-U08-L1
Take your time.	Lass dir Zeit.	B1 B1-U08 B1-U08-L1
Can that be done?	Lässt sich das machen?	B1 B1-U08 B1-U08-L1
She's having her hair cut.	Sie lässt sich die Haare schneiden.	B1 B1-U08 B1-U08-L1
to paint (a wall)	streichen	B1 B1-U08 B1-U08-L1
the caretaker / the hallway	der Hausmeister / der Flur	B1 B1-U08 B1-U08-L1
The cellar is actually empty.	Der Keller ist eigentlich leer.	B1 B1-U08 B1-U08-L2
Do let me know.	Sag doch mal Bescheid.	B1 B1-U08 B1-U08-L2
Come round sometime.	Komm doch mal vorbei.	B1 B1-U08 B1-U08-L2
Can you give me a hand?	Kannst du mir mal helfen?	B1 B1-U08 B1-U08-L2
He's probably not at home.	Er ist wohl nicht zu Hause.	B1 B1-U08 B1-U08-L2
the neighbour (m/f)	der Nachbar / die Nachbarin	B1 B1-U08 B1-U08-L2
the noise level	die Lautstärke	B1 B1-U08 B1-U08-L2
to accept a parcel	ein Paket annehmen	B1 B1-U08 B1-U08-L2
to agree (come to an agreement)	sich einigen	B1 B1-U08 B1-U08-L2
Tell me, do you listen to music in the evening?	Sagen Sie mal, hören Sie abends Musik?	B1 B1-U08 B1-U08-L3
What matters to me is …	Mir geht es vor allem um …	B1 B1-U08 B1-U08-L3
Or do you have another idea?	Oder haben Sie eine andere Idee?	B1 B1-U08 B1-U08-L3
How about if …?	Wie wäre es, wenn …?	B1 B1-U08 B1-U08-L3
That sounds good. Let's do it that way.	Das klingt gut. Machen wir so.	B1 B1-U08 B1-U08-L3
to volunteer / voluntary work	sich engagieren / das Ehrenamt	B1 B1-U08 B1-U08-L3
to look after something	sich kümmern um (+ A)	B1 B1-U08 B1-U08-L3
to step in (for someone)	einspringen	B1 B1-U08 B1-U08-L3
consideration / to be considerate	die Rücksicht / Rücksicht nehmen	B1 B1-U08 B1-U08-L3
the agreement (informal)	die Absprache	B1 B1-U08 B1-U08-L3
to volunteer	sich engagieren	B1 B1-U08 B1-U08-L4
I'm going to apply for a place at university.	Ich werde mich für einen Studienplatz bewerben.	B1 B1-U09
It'll be fine.	Das wird schon klappen.	B1 B1-U09
She'll probably start in January.	Sie wird wohl im Januar anfangen.	B1 B1-U09
I'm getting tired.	Ich werde müde.	B1 B1-U09
The certificate will be sent next week.	Das Zeugnis wird nächste Woche verschickt.	B1 B1-U09
I'm planning to …	Ich habe vor, … zu …	B1 B1-U09
the possibility / the decision	die Möglichkeit / die Entscheidung	B1 B1-U09
further training / retraining	die Weiterbildung / die Umschulung	B1 B1-U09
the internship / the qualification	das Praktikum / der Abschluss	B1 B1-U09
doable / free of charge / unemployed	machbar / kostenlos / arbeitslos	B1 B1-U09
My presentation is about …	In meiner Präsentation geht es um …	B1 B1-U09
Let's move on to the second point.	Kommen wir zum zweiten Punkt.	B1 B1-U09
To sum up: …	Zusammengefasst: …	B1 B1-U09
Honestly, I don't know. I can find out.	Das weiß ich ehrlich gesagt nicht. Ich kann es herausfinden.	B1 B1-U09
In September I'm starting an apprenticeship.	Im September fange ich eine Ausbildung an.	B1 B1-U09 B1-U09-L1
I'll let you know as soon as I know.	Ich werde dir Bescheid sagen, sobald ich es weiß.	B1 B1-U09 B1-U09-L1
My sister finishes in the summer.	Meine Schwester wird im Sommer fertig.	B1 B1-U09 B1-U09-L1
the qualification / the apprenticeship	der Abschluss / die Ausbildung	B1 B1-U09 B1-U09-L1
the internship / the school report	das Praktikum / das Zeugnis	B1 B1-U09 B1-U09-L1
to apply for	sich bewerben um / auf (+ A)	B1 B1-U09 B1-U09-L1
to work out (succeed)	klappen	B1 B1-U09 B1-U09-L1
the possibility	die Möglichkeit	B1 B1-U09 B1-U09-L2
the security / certainty	die Sicherheit	B1 B1-U09 B1-U09-L2
the decision	die Entscheidung	B1 B1-U09 B1-U09-L2
the processing (of an application)	die Bearbeitung	B1 B1-U09 B1-U09-L2
the requirement	die Anforderung	B1 B1-U09 B1-U09-L2
free of charge	kostenlos	B1 B1-U09 B1-U09-L2
unemployed	arbeitslos	B1 B1-U09 B1-U09-L2
doable	machbar	B1 B1-U09 B1-U09-L2
understandable, comprehensible	nachvollziehbar	B1 B1-U09 B1-U09-L2
uncertainty	die Unsicherheit	B1 B1-U09 B1-U09-L2
the job interview	das Bewerbungsgespräch	B1 B1-U09 B1-U09-L2
the processing time	die Bearbeitungszeit	B1 B1-U09 B1-U09-L2
I've asked myself three questions.	Ich habe mir dazu drei Fragen gestellt.	B1 B1-U09 B1-U09-L3
A concrete example: …	Ein konkretes Beispiel: …	B1 B1-U09 B1-U09-L3
Before I come to the end, …	Bevor ich zum Schluss komme, …	B1 B1-U09 B1-U09-L3
Thank you. I'll gladly answer your questions.	Vielen Dank. Ich beantworte gern Ihre Fragen.	B1 B1-U09 B1-U09-L3
Could you repeat the question, please?	Können Sie die Frage bitte wiederholen?	B1 B1-U09 B1-U09-L3
the outline / the transition	die Gliederung / der Übergang	B1 B1-U09 B1-U09-L3
the degree course / the apprenticeship	das Studium / die Ausbildung	B1 B1-U09 B1-U09-L3
to pass ↔ to fail (an exam)	bestehen ↔ durchfallen	B1 B1-U09 B1-U09-L3
the certificate	das Zertifikat	B1 B1-U09 B1-U09-L3
doable / free of charge	machbar / kostenlos	B1 B1-U09 B1-U09-L4
Honestly, I don't know.	Das weiß ich ehrlich gesagt nicht.	B1 B1-U09 B1-U09-L4
to pass ↔ to fail	bestehen ↔ durchfallen	B1 B1-U09 B1-U09-L4
I should have asked first.	Ich hätte vorher fragen sollen.	B1 B1-U10
If I had known that, I'd have negotiated differently.	Wenn ich das gewusst hätte, hätte ich anders verhandelt.	B1 B1-U10
I almost fell.	Ich wäre beinahe gestürzt.	B1 B1-U10
We'll make the decision this evening.	Wir treffen die Entscheidung heute Abend.	B1 B1-U10
That's out of the question.	Das kommt nicht in Frage.	B1 B1-U10
I can't afford that at the moment.	Ich kann mir das gerade nicht leisten.	B1 B1-U10
I need to think about it.	Ich muss es mir überlegen.	B1 B1-U10
It pays for itself. / It's worth it.	Das rechnet sich. / Das lohnt sich.	B1 B1-U10
to cancel a contract / the insurance	einen Vertrag kündigen / die Versicherung	B1 B1-U10
the instalment / the fee / the contribution	die Rate / die Gebühr / der Beitrag	B1 B1-U10
Could you lend me twenty euros?	Könntest du mir zwanzig Euro leihen?	B1 B1-U10
I still owe you ten euros.	Ich schulde dir noch zehn Euro.	B1 B1-U10
I'll pay up front, you transfer it to me.	Ich lege das aus, du überweist es mir.	B1 B1-U10
That only works for me if …	Das geht bei mir nur, wenn …	B1 B1-U10
I don't lend money as a rule.	Ich leihe grundsätzlich kein Geld.	B1 B1-U10
Let's note: you …, I …, by …	Halten wir fest: Du …, ich …, bis …	B1 B1-U10
to weigh up / to do the maths	abwägen / nachrechnen	B1 B1-U10
good value ↔ cheap (pejorative)	günstig ↔ billig	B1 B1-U10
I should have taken it to the garage first.	Ich hätte es vorher zur Werkstatt bringen sollen.	B1 B1-U10 B1-U10-L1
You could have asked me.	Du hättest mich fragen können.	B1 B1-U10 B1-U10-L1
I should have known better.	Ich hätte es besser wissen müssen.	B1 B1-U10 B1-U10-L1
If only I'd asked earlier!	Hätte ich doch früher gefragt!	B1 B1-U10 B1-U10-L1
We almost missed the train.	Wir hätten fast den Zug verpasst.	B1 B1-U10 B1-U10-L1
In your place I'd have checked first.	An deiner Stelle hätte ich vorher nachgerechnet.	B1 B1-U10 B1-U10-L1
to negotiate	verhandeln	B1 B1-U10 B1-U10-L1
to work out, to do the maths	nachrechnen	B1 B1-U10 B1-U10-L1
the garage (repair shop)	die Werkstatt	B1 B1-U10 B1-U10-L1
annoying	ärgerlich	B1 B1-U10 B1-U10-L1
We have two options.	Wir haben zwei Möglichkeiten.	B1 B1-U10 B1-U10-L2
The price is around 250 euros.	Der Preis liegt bei etwa 250 Euro.	B1 B1-U10 B1-U10-L2
Then that's more of an option.	Dann kommt das eher in Frage.	B1 B1-U10 B1-U10-L2
It pays for itself in two years.	Das rechnet sich nach zwei Jahren.	B1 B1-U10 B1-U10-L2
We'll split it into two instalments.	Wir teilen es in zwei Raten.	B1 B1-U10 B1-U10-L2
What matters more to you?	Was ist dir wichtiger?	B1 B1-U10 B1-U10-L2
expenses ↔ income	die Ausgaben ↔ die Einnahmen	B1 B1-U10 B1-U10-L2
to weigh up	abwägen	B1 B1-U10 B1-U10-L2
I could take on half if …	Ich könnte die Hälfte übernehmen, wenn …	B1 B1-U10 B1-U10-L3
Shall we meet in the middle?	Treffen wir uns in der Mitte?	B1 B1-U10 B1-U10-L3
It's nothing to do with you.	Das hat nichts mit dir zu tun.	B1 B1-U10 B1-U10-L3
What I can offer is …	Was ich anbieten kann, ist …	B1 B1-U10 B1-U10-L3
Could you pay for me for now?	Kannst du kurz auslegen?	B1 B1-U10 B1-U10-L3
to split it fifty-fifty	halbe-halbe machen	B1 B1-U10 B1-U10-L3
the compromise	der Kompromiss	B1 B1-U10 B1-U10-L3
to turn something down	ablehnen	B1 B1-U10 B1-U10-L3
It pays for itself.	Das rechnet sich.	B1 B1-U10 B1-U10-L4
Let's note: …	Halten wir fest: …	B1 B1-U10 B1-U10-L4
to weigh up / to work out the figures	abwägen / nachrechnen	B1 B1-U10 B1-U10-L4
to cancel a contract	einen Vertrag kündigen	B1 B1-U10 B1-U10-L4
the instalment / the fee	die Rate / die Gebühr	B1 B1-U10 B1-U10-L4
